	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT12	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18	gamma_T0vT18
	Rep1	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	screen score	screen score	screen score	lncRNA gene hit type	screen score	screen score	screen score	lncRNA gene hit type
LH00001	10.67214232	3.846223199	6.159410682		17.22757447	11.01608229	15.91356011	lncRNA hit
LH00007	1.266395094	0.147973866	0.239337668		4.214221547	0.062563811	1.352297376	
LH00008	0.961003967	0.005352408	0.108712898		0.025560859	0.001773391	0.018227087	
LH00016	0.162636615	0.114303608	0.212666441		0.424832657	0.521515478	1.092955717	
LH00024	2.209662975	0.060167899	0.428304838		0.597579861	0.028017085	0.149070618	
LH00031	0.098581904	0.043374865	0.040617862		0.044734226	0.220676007	0.121120165	
LH00032	0.699116259	0.328049035	0.007257062		0.214200008	0.189849668	0.029823948	
LH00034	1.183210496	0.312203515	1.552766402		0.576283319	0.770673165	1.328546132	
LH00035	0.008433401	0.230822497	0.044304517		0.18799831	0.208390398	0.263170337	
LH00048	4.180779374	0.006840655	1.441894573		0.959839426	0.434276668	1.05686497	
LH00051	0.957378117	0.218705308	0.046235452		0.0504773	0.982667613	0.50652547	
LH00053	0.071939149	0.03974014	0.012011607		0.152786923	1.638026602	0.865448882	
LH00063	0.047477287	1.0397418	0.435783356		0.214421965	0.388626575	0.05120477	
LH00072	1.781753306	3.932674883	3.806944713		0.944810383	7.138469927	4.454565852	
LH00073	0.093702371	0.17619452	0.166598021		0.011301195	0.267678431	0.08710029	
LH00074	0.161030402	0.010200283	0.459478739		1.274903179	0.050069611	1.195753874	
LH00076	0.320739725	0.365459028	0.412721304		0.011958521	2.158452144	0.620554843	
LH00080	0.014859353	0.095547341	0.037313932		0.588842663	0.034004782	0.298755226	
LH00082	83.10150963	82.46021873	97.04992747	Neighbor hit	77.47284772	89.58278598	91.01839863	Neighbor hit
LH00087	7.089975816	12.14446959	11.36478026	lncRNA hit	7.21162241	18.48966988	14.51786508	lncRNA hit
