#chrom	start	end	name	score	strand	size	num_data	min	max	mean	median
chr14	62037157	62037357	ENST00000229465.10_1	0	+	200	200	0.00	0.94	0.09	0.00
chr13	50656027	50656227	ENST00000235290.7_1	0	-	200	200	0.00	1.00	0.83	1.00
chr20	43292039	43292239	ENST00000255183.8_2	0	-	200	200	0.00	0.12	0.00	0.00
chr20	62921639	62921839	ENST00000279067.3_1	0	+	200	200	0.00	0.71	0.13	0.08
chr1	148928213	148928413	ENST00000294715.2	0	+	200	200	0.00	0.42	0.05	0.01
chr2	177502617	177502817	ENST00000295549.8_1	0	-	200	200	0.00	1.00	0.06	0.00
chr5	135470479	135470679	ENST00000297163.3_1	0	-	200	200	0.00	0.98	0.07	0.00
chr9	21559597	21559797	ENST00000304425.3_1	0	-	200	200	0.00	1.00	0.11	0.00
chr12	8387912	8388112	ENST00000304751.9_1	0	+	200	200	0.00	1.00	0.58	0.97
chr9	35771	35971	ENST00000305248.5_1	0	-	200	200	0.00	1.00	0.30	0.01
chr9	66553508	66553708	ENST00000305709.5_1	0	+	200	200	0.00	0.10	0.02	0.01
chr11	115452924	115453124	ENST00000306533.8_1	0	+	200	200	0.00	0.74	0.05	0.01
chr2	112252572	112252772	ENST00000308604.5_1	0	-	200	200	0.00	1.00	0.83	1.00
chr7	99933637	99933837	ENST00000310771.8_1	0	+	200	200	0.00	1.00	0.06	0.00
chr1	15478871	15479071	ENST00000310916.6_1	0	-	200	200	0.00	1.00	0.15	0.00
chr7	33765491	33765691	ENST00000311067.3_1	0	+	200	200	0.00	1.00	0.32	0.03
chr1	35444207	35444407	ENST00000311990.4_1	0	-	200	200	0.00	1.00	0.10	0.00
chr2	25593456	25593656	ENST00000313031.2_1	0	-	200	200	0.00	0.76	0.38	0.37
chr5	60982025	60982225	ENST00000313303.8_1	0	+	200	200	0.00	0.40	0.01	0.00
chr17	12453184	12453384	ENST00000313495.6_1	0	+	200	200	0.00	1.00	0.28	0.01
chr15	44828965	44829165	ENST00000313807.4_1	0	-	200	200	0.00	0.53	0.01	0.00
chr19	35596649	35596849	ENST00000313865.6_1	0	+	200	200	0.00	0.17	0.01	0.00
chr19	58514162	58514362	ENST00000313957.7_1	0	+	200	200	0.00	1.00	0.10	0.00
chr19	1954440	1954640	ENST00000314315.7_1	0	-	200	200	0.00	1.00	0.09	0.00
chr5	43017981	43018181	ENST00000314957.3_1	0	-	200	200	0.00	0.03	0.00	0.00
chr4	183065496	183065696	ENST00000315302.6_1	0	-	200	200	0.00	1.00	0.35	0.01
chr19	38040141	38040341	ENST00000316807.2_1	0	-	200	200	0.00	0.19	0.03	0.01
chr18	3594010	3594210	ENST00000317114.1_1	0	+	200	200	0.00	1.00	0.46	0.38
chr4	185275013	185275213	ENST00000317596.3_1	0	-	200	200	0.00	0.05	0.00	0.00
chr4	85887852	85888052	ENST00000318186.6_1	0	+	200	200	0.00	1.00	0.39	0.05
chr12	752102	752302	ENST00000318291.4_1	0	+	200	200	0.00	0.02	0.00	0.00
chr12	13529545	13529745	ENST00000318426.6_1	0	-	200	200	0.00	0.51	0.03	0.00
chr1	181205494	181205694	ENST00000319701.2_1	0	+	200	200	0.00	0.88	0.04	0.00
chr11	120039561	120039761	ENST00000319763.1_1	0	+	200	200	0.00	0.20	0.00	0.00
chr14	21575720	21575920	ENST00000320322.2_1	0	+	200	200	0.00	0.34	0.01	0.00
chr22	23829069	23829269	ENST00000320372.9_1	0	-	200	200	0.00	0.05	0.01	0.00
chr9	134375364	134375564	ENST00000321081.2_1	0	-	200	200	0.00	1.00	0.80	1.00
chr1	2984244	2984444	ENST00000321336.1_1	0	-	200	200	0.00	1.00	0.07	0.00
chr9	98638161	98638361	ENST00000321517.3_1	0	-	200	200	0.00	1.00	0.12	0.00
